time,open,high,low,close,volume
2024-05-16 00:00:00+00:00,599.5,600.0,590.05,592.6,4645547
2024-05-17 00:00:00+00:00,592.8,596.7,590.5,591.95,3460602
2024-05-20 00:00:00+00:00,594.0,596.35,580.1,591.9,4649647
2024-05-21 00:00:00+00:00,592.0,597.5,586.6,594.6,4313358
2024-05-22 00:00:00+00:00,593.9,597.25,591.75,596.85,3748577
2024-05-23 00:00:00+00:00,595.7,596.65,590.0,593.15,3555763
2024-05-24 00:00:00+00:00,593.6,594.45,582.3,585.1,3990201
2024-05-27 00:00:00+00:00,585.0,588.0,568.4,578.25,7407211
2024-05-28 00:00:00+00:00,578.8,585.0,567.0,573.0,4392067
2024-05-29 00:00:00+00:00,573.95,580.0,571.0,575.65,2622447
2024-05-30 00:00:00+00:00,577.65,581.15,553.95,566.4,5592247
2024-05-31 00:00:00+00:00,570.0,572.0,555.0,556.65,6164219
2024-06-03 00:00:00+00:00,557.0,564.7,542.5,562.95,7578912
2024-06-04 00:00:00+00:00,563.1,571.0,555.55,568.95,5282965
2024-06-05 00:00:00+00:00,570.05,575.0,559.65,562.2,5054761
2024-06-06 00:00:00+00:00,563.9,569.8,561.25,566.3,2240679
2024-06-07 00:00:00+00:00,567.3,575.95,565.3,571.65,3339099
2024-06-10 00:00:00+00:00,573.9,575.7,560.0,563.25,2700282
2024-06-11 00:00:00+00:00,562.7,563.5,556.5,562.85,1892882
2024-06-13 00:00:00+00:00,530.5,560.0,525.0,555.5,4384243
2024-06-14 00:00:00+00:00,556.0,569.9,552.1,565.1,3295509
2024-06-17 00:00:00+00:00,569.85,573.4,563.1,566.7,2835643
2024-06-18 00:00:00+00:00,566.7,567.65,553.4,554.45,2782506
2024-06-19 00:00:00+00:00,553.9,558.7,532.5,536.0,4682057
2024-06-20 00:00:00+00:00,537.0,559.0,524.0,555.0,7999562
2024-06-21 00:00:00+00:00,556.15,562.85,545.45,550.05,2974414
2024-06-24 00:00:00+00:00,551.0,555.95,544.0,547.45,2058463
2024-06-25 00:00:00+00:00,547.45,559.0,543.1,558.5,2786893
2024-06-26 00:00:00+00:00,559.2,562.45,557.0,561.2,1996053
2024-06-27 00:00:00+00:00,562.0,565.0,556.2,559.8,1703294
2024-06-28 00:00:00+00:00,560.2,565.65,559.65,565.25,1455429
2024-07-01 00:00:00+00:00,566.35,578.5,562.0,576.9,3039977
2024-07-02 00:00:00+00:00,577.05,579.6,571.7,573.0,2994694
2024-07-03 00:00:00+00:00,574.8,577.5,570.75,573.9,2452574
2024-07-04 00:00:00+00:00,574.25,575.45,558.7,561.35,3119545
2024-07-05 00:00:00+00:00,561.15,564.3,554.45,555.85,3340492
2024-07-08 00:00:00+00:00,555.85,566.05,555.6,560.1,5292441
2024-07-09 00:00:00+00:00,536.0,540.25,524.6,524.6,10551555
2024-07-10 00:00:00+00:00,524.5,526.45,500.05,502.5,8069103
2024-07-11 00:00:00+00:00,503.0,526.9,503.0,526.7,4755570
2024-07-12 00:00:00+00:00,528.8,531.0,520.1,527.4,2746621
2024-07-15 00:00:00+00:00,529.0,529.85,501.05,508.0,6120047
2024-07-16 00:00:00+00:00,505.0,519.1,503.7,516.9,5448563
2024-07-17 00:00:00+00:00,517.05,518.75,507.25,510.45,4007774
2024-07-18 00:00:00+00:00,511.45,518.2,508.05,517.25,3074149
2024-07-19 00:00:00+00:00,517.35,527.8,515.75,524.15,2593866
2024-07-22 00:00:00+00:00,527.5,535.0,526.05,531.85,3730819
2024-07-23 00:00:00+00:00,533.95,534.8,526.1,530.55,1340983
2024-07-24 00:00:00+00:00,532.0,537.65,529.1,532.25,2224027
2024-07-25 00:00:00+00:00,532.25,535.5,530.05,532.45,1537179
2024-07-26 00:00:00+00:00,532.5,538.7,518.75,521.4,4861293
2024-07-29 00:00:00+00:00,519.95,519.95,500.0,503.2,3899378
2024-07-30 00:00:00+00:00,501.0,514.0,496.2,513.95,4486792
2024-07-31 00:00:00+00:00,517.0,518.2,510.2,515.95,2104428
2024-08-01 00:00:00+00:00,516.0,518.0,505.0,506.4,2738463
2024-08-02 00:00:00+00:00,507.0,510.45,503.0,504.8,2297403
2024-08-05 00:00:00+00:00,498.0,502.75,490.1,493.9,5340313
2024-08-06 00:00:00+00:00,496.6,502.0,491.75,496.15,2468513
2024-08-07 00:00:00+00:00,496.15,512.45,491.3,508.45,4174404
2024-08-08 00:00:00+00:00,509.2,514.2,501.7,503.2,2492871
2024-08-09 00:00:00+00:00,503.2,509.5,501.55,505.7,1526088
2024-08-12 00:00:00+00:00,505.7,505.7,494.5,501.7,6388120
2024-08-13 00:00:00+00:00,500.9,506.5,499.7,502.5,3067178
2024-08-14 00:00:00+00:00,503.0,506.3,494.95,495.8,3472937
2024-08-15 00:00:00+00:00,496.2,498.45,493.15,493.75,1741554
2024-08-16 00:00:00+00:00,494.2,496.55,488.25,489.7,2085237
2024-08-19 00:00:00+00:00,490.35,493.5,481.6,483.7,3363736
2024-08-20 00:00:00+00:00,483.7,488.95,479.5,481.5,3380235
2024-08-21 00:00:00+00:00,482.5,485.35,478.5,480.95,3804916
2024-08-22 00:00:00+00:00,481.1,482.5,474.1,475.8,3386322
2024-08-23 00:00:00+00:00,475.85,479.25,470.6,478.75,3774407
2024-08-26 00:00:00+00:00,486.5,490.15,481.1,489.55,3724028
2024-08-27 00:00:00+00:00,489.85,491.45,475.75,477.5,2758692
2024-08-28 00:00:00+00:00,477.5,479.15,458.5,479.05,4857838
2024-08-29 00:00:00+00:00,480.0,484.0,473.9,482.95,3815305
2024-08-30 00:00:00+00:00,485.95,489.2,473.2,475.85,6647038
2024-09-02 00:00:00+00:00,473.2,474.8,450.25,455.05,7183728
2024-09-03 00:00:00+00:00,456.05,471.7,452.85,468.85,8088081
2024-09-04 00:00:00+00:00,468.0,483.55,464.0,477.75,5761554
2024-09-05 00:00:00+00:00,480.35,486.75,474.75,477.15,3723759
2024-09-06 00:00:00+00:00,477.15,484.75,475.0,479.1,2094811
2024-09-09 00:00:00+00:00,479.9,494.2,479.85,493.8,3006353
2024-09-10 00:00:00+00:00,494.2,496.25,476.2,482.35,4009069
2024-09-11 00:00:00+00:00,482.45,489.5,475.35,477.75,3210223
2024-09-12 00:00:00+00:00,478.55,489.85,474.1,488.45,3697385
2024-09-13 00:00:00+00:00,488.4,498.5,478.0,498.0,4976602
2024-09-16 00:00:00+00:00,500.8,516.5,498.3,516.3,5157625
2024-09-17 00:00:00+00:00,518.75,519.5,508.3,517.95,3071106
2024-09-18 00:00:00+00:00,517.95,519.9,506.15,510.25,2683861
2024-09-19 00:00:00+00:00,511.35,516.2,507.2,512.55,2818902
2024-09-20 00:00:00+00:00,512.5,528.25,510.75,528.15,6630217
2024-09-23 00:00:00+00:00,528.95,532.0,523.45,526.1,3975646
2024-09-24 00:00:00+00:00,526.8,526.9,517.7,522.1,3269949
2024-09-25 00:00:00+00:00,521.5,524.95,509.5,512.4,3029063
2024-09-26 00:00:00+00:00,510.25,515.95,506.0,512.7,2869880
2024-09-27 00:00:00+00:00,513.15,514.55,507.75,511.0,2195917
2024-09-30 00:00:00+00:00,512.45,516.2,503.05,507.4,3073519
2024-10-01 00:00:00+00:00,506.0,512.85,493.5,509.75,7113027
2024-10-02 00:00:00+00:00,509.8,511.9,494.0,499.95,7063610
2024-10-03 00:00:00+00:00,499.9,502.7,488.65,500.0,7576142
2024-10-04 00:00:00+00:00,502.8,509.45,498.55,501.9,5675373
2024-10-07 00:00:00+00:00,502.5,505.6,493.2,503.5,5642987
2024-10-08 00:00:00+00:00,500.0,505.0,498.0,501.8,3787736
2024-10-09 00:00:00+00:00,503.0,503.0,491.4,495.85,5222780
2024-10-10 00:00:00+00:00,495.85,499.4,493.55,497.75,1973851
2024-10-11 00:00:00+00:00,497.9,499.0,490.6,492.15,2499114
2024-10-14 00:00:00+00:00,492.15,501.2,486.75,496.0,3828020
2024-10-15 00:00:00+00:00,495.8,500.0,492.85,498.4,3415321
2024-10-16 00:00:00+00:00,498.4,503.9,495.15,496.45,3736964
2024-10-17 00:00:00+00:00,496.45,497.2,485.55,486.95,4405919
2024-10-18 00:00:00+00:00,487.0,488.75,482.3,487.8,2519947
2024-10-21 00:00:00+00:00,488.2,490.0,484.05,484.7,2065853
2024-10-22 00:00:00+00:00,484.5,485.4,478.45,479.0,3133144
2024-10-23 00:00:00+00:00,478.5,480.35,467.2,469.0,4361513
2024-10-24 00:00:00+00:00,469.55,472.1,464.1,469.75,4013241
2024-10-25 00:00:00+00:00,469.6,470.65,455.5,456.1,6547227
2024-10-28 00:00:00+00:00,451.05,455.4,433.3,434.75,8597298
2024-10-29 00:00:00+00:00,434.75,446.55,434.5,442.35,7598465
2024-10-30 00:00:00+00:00,443.05,449.5,438.1,439.05,6095361
2024-10-31 00:00:00+00:00,438.85,442.35,429.1,434.1,5970615
2024-11-01 00:00:00+00:00,435.0,449.2,433.5,444.35,9635326
2024-11-02 00:00:00+00:00,444.3,457.0,441.9,457.0,5094356
2024-11-05 00:00:00+00:00,460.0,465.6,457.5,460.5,4440023
2024-11-06 00:00:00+00:00,472.0,478.75,463.45,466.85,7758308
2024-11-07 00:00:00+00:00,467.1,475.55,455.95,475.5,4021002
2024-11-08 00:00:00+00:00,477.6,482.0,470.1,481.5,5809000
2024-11-11 00:00:00+00:00,492.05,498.8,487.3,490.6,11365921
2024-11-12 00:00:00+00:00,489.4,493.9,480.85,482.05,5376459
2024-11-13 00:00:00+00:00,480.1,493.65,475.7,480.35,8480117
2024-11-14 00:00:00+00:00,480.3,483.45,471.0,473.3,4714440
2024-11-15 00:00:00+00:00,472.5,480.95,469.5,480.1,3984695
2024-11-18 00:00:00+00:00,472.2,477.95,468.7,471.95,4464374
2024-11-19 00:00:00+00:00,472.7,473.9,454.4,459.7,6149406
2024-11-20 00:00:00+00:00,461.0,462.6,444.4,449.25,6283891
2024-11-21 00:00:00+00:00,451.2,459.35,443.65,458.95,6671902
2024-11-22 00:00:00+00:00,458.95,464.75,452.05,459.9,5830163
2024-11-25 00:00:00+00:00,459.9,466.3,445.8,453.65,9310227
2024-11-26 00:00:00+00:00,452.45,459.0,445.75,450.8,5565023
2024-11-27 00:00:00+00:00,452.05,474.6,447.6,474.15,13011482
2024-11-28 00:00:00+00:00,476.8,486.0,468.05,474.85,6577712
2024-11-29 00:00:00+00:00,470.0,484.0,469.55,478.0,5849494
2024-12-02 00:00:00+00:00,484.0,491.0,481.25,489.3,5140048
2024-12-03 00:00:00+00:00,489.4,493.4,483.25,490.5,4694510
2024-12-04 00:00:00+00:00,490.7,496.8,470.0,473.1,7264602
2024-12-05 00:00:00+00:00,474.0,493.25,469.5,488.2,6460191
2024-12-06 00:00:00+00:00,489.5,492.0,485.0,485.3,3377318
2024-12-09 00:00:00+00:00,489.3,495.95,486.55,491.05,3325975
2024-12-10 00:00:00+00:00,491.8,494.9,482.05,484.6,3940688
2024-12-11 00:00:00+00:00,483.5,490.2,480.4,488.75,2592534
2024-12-12 00:00:00+00:00,488.15,493.95,484.05,485.45,4116354
2024-12-13 00:00:00+00:00,485.5,487.45,473.0,483.65,6024838
2024-12-16 00:00:00+00:00,483.6,483.65,473.1,477.4,3671178
2024-12-17 00:00:00+00:00,476.0,481.9,475.5,480.65,3050790
2024-12-18 00:00:00+00:00,481.5,489.9,479.35,487.7,3376894
2024-12-19 00:00:00+00:00,489.1,507.7,485.7,506.15,10766204
2024-12-20 00:00:00+00:00,506.15,566.45,501.0,559.6,19287888
2024-12-23 00:00:00+00:00,562.0,586.4,560.5,569.9,13480119
2024-12-24 00:00:00+00:00,570.5,582.0,566.65,572.7,6280587
2024-12-25 00:00:00+00:00,572.65,585.0,565.5,581.95,7542112
2024-12-26 00:00:00+00:00,583.8,588.95,578.1,579.1,5004949
