time,open,high,low,close,volume
2024-05-16 00:00:00+00:00,7655.5,7724.5,7633.0,7715.0,518430
2024-05-17 00:00:00+00:00,7730.0,7871.5,7729.0,7854.5,1011059
2024-05-20 00:00:00+00:00,7897.0,7938.0,7752.0,7834.5,864245
2024-05-21 00:00:00+00:00,7835.0,7900.0,7788.0,7848.0,735941
2024-05-22 00:00:00+00:00,7849.5,7879.0,7805.0,7820.0,439080
2024-05-23 00:00:00+00:00,7820.0,7861.0,7777.5,7841.5,498714
2024-05-24 00:00:00+00:00,7840.5,7858.5,7701.0,7720.0,854290
2024-05-27 00:00:00+00:00,7719.5,7750.0,7479.0,7541.5,1142239
2024-05-28 00:00:00+00:00,7553.0,7700.0,7431.0,7590.0,870709
2024-05-29 00:00:00+00:00,7600.0,7689.0,7582.5,7684.0,402549
2024-05-30 00:00:00+00:00,7698.0,7722.5,7551.0,7567.0,538412
2024-05-31 00:00:00+00:00,7567.0,7607.0,7301.0,7355.5,1155650
2024-06-03 00:00:00+00:00,7392.0,7479.5,7161.0,7252.0,1669856
2024-06-04 00:00:00+00:00,7249.0,7454.5,7185.0,7426.0,1046219
2024-06-05 00:00:00+00:00,7439.0,7544.0,7377.0,7412.5,754429
2024-06-06 00:00:00+00:00,7430.0,7478.5,7351.0,7398.0,406530
2024-06-07 00:00:00+00:00,7401.0,7599.0,7401.0,7489.0,1063345
2024-06-10 00:00:00+00:00,7520.0,7523.5,7261.0,7315.0,785549
2024-06-11 00:00:00+00:00,7315.0,7370.0,7235.0,7290.0,698787
2024-06-13 00:00:00+00:00,7050.0,7276.0,6923.0,7178.5,1277680
2024-06-14 00:00:00+00:00,7198.0,7403.5,7181.5,7368.0,735998
2024-06-17 00:00:00+00:00,7375.0,7390.5,7202.0,7203.0,611618
2024-06-18 00:00:00+00:00,7203.0,7234.0,6993.5,7036.0,1018445
2024-06-19 00:00:00+00:00,7045.0,7107.5,6806.0,6885.0,1393012
2024-06-20 00:00:00+00:00,6885.5,7171.0,6633.5,7112.5,4612673
2024-06-21 00:00:00+00:00,7124.0,7191.5,7024.0,7084.0,899558
2024-06-24 00:00:00+00:00,7070.0,7125.0,7032.5,7051.5,713882
