time,open,high,low,close,volume
2024-05-16 00:00:00+00:00,152.74,153.78,152.22,152.6,865595
2024-05-17 00:00:00+00:00,152.9,157.3,152.6,156.3,2793072
2024-05-20 00:00:00+00:00,157.5,159.44,151.52,151.88,1854371
2024-05-21 00:00:00+00:00,151.6,153.38,148.12,148.92,2376324
2024-05-22 00:00:00+00:00,149.0,153.0,148.0,150.0,1790135
2024-05-23 00:00:00+00:00,149.96,155.76,146.7,154.06,4534767
2024-05-24 00:00:00+00:00,154.06,157.7,151.5,153.04,2543693
2024-05-27 00:00:00+00:00,153.04,153.88,148.62,149.8,1413245
2024-05-28 00:00:00+00:00,149.82,152.1,148.82,149.62,1134755
2024-05-29 00:00:00+00:00,149.6,153.04,149.26,152.0,701329
2024-05-30 00:00:00+00:00,152.3,153.0,145.32,146.5,1065300
2024-05-31 00:00:00+00:00,146.4,147.94,138.14,139.98,1622431
2024-06-03 00:00:00+00:00,140.9,142.64,133.76,138.52,1829878
2024-06-04 00:00:00+00:00,138.54,143.02,136.4,140.8,1422502
2024-06-05 00:00:00+00:00,141.36,141.76,138.1,139.24,807936
2024-06-06 00:00:00+00:00,139.26,141.8,138.72,141.8,669757
2024-06-07 00:00:00+00:00,141.84,145.36,140.6,143.28,1019037
2024-06-10 00:00:00+00:00,143.42,143.96,138.12,139.14,700882
2024-06-11 00:00:00+00:00,138.66,140.54,136.94,138.86,1327538
2024-06-13 00:00:00+00:00,135.48,140.18,132.62,139.18,950167
2024-06-14 00:00:00+00:00,139.5,141.6,138.3,140.3,561801
2024-06-17 00:00:00+00:00,140.7,140.86,138.52,138.54,487585
2024-06-18 00:00:00+00:00,138.62,139.6,135.76,136.26,722133
2024-06-19 00:00:00+00:00,135.92,136.26,130.6,134.0,1302505
2024-06-20 00:00:00+00:00,134.04,136.66,130.4,136.32,3710509
2024-06-21 00:00:00+00:00,136.6,138.88,133.7,134.0,966121
2024-06-24 00:00:00+00:00,134.0,134.7,130.2,130.24,687628
2024-06-25 00:00:00+00:00,130.24,131.82,128.2,131.18,1461521
2024-06-26 00:00:00+00:00,131.54,132.42,130.4,130.8,765470
2024-06-27 00:00:00+00:00,130.82,131.26,129.0,129.32,816462
2024-06-28 00:00:00+00:00,129.04,130.44,129.0,129.92,393726
2024-07-01 00:00:00+00:00,130.0,132.66,128.84,132.5,1015939
2024-07-02 00:00:00+00:00,132.5,135.28,131.3,134.38,1262278
2024-07-03 00:00:00+00:00,134.98,135.52,132.22,132.66,1208133
2024-07-04 00:00:00+00:00,132.98,133.54,129.9,130.38,841417
2024-07-05 00:00:00+00:00,130.5,134.46,129.6,134.34,942899
2024-07-08 00:00:00+00:00,134.34,135.0,132.16,132.52,809248
2024-07-09 00:00:00+00:00,132.52,133.08,128.52,129.14,791722
2024-07-10 00:00:00+00:00,129.7,129.7,124.02,124.3,1548915
2024-07-11 00:00:00+00:00,124.68,126.88,124.58,126.1,1380291
2024-07-12 00:00:00+00:00,125.74,126.46,123.64,125.26,1438723
2024-07-15 00:00:00+00:00,125.22,125.84,122.24,122.76,730802
2024-07-16 00:00:00+00:00,123.34,127.08,122.6,126.1,1042373
2024-07-17 00:00:00+00:00,126.6,127.44,124.24,125.26,878820
2024-07-18 00:00:00+00:00,125.36,129.36,124.42,128.3,901378
2024-07-19 00:00:00+00:00,128.94,129.5,127.2,128.5,1215282
2024-07-22 00:00:00+00:00,129.0,130.46,128.36,129.88,630455
2024-07-23 00:00:00+00:00,130.0,130.34,127.62,128.08,541748
2024-07-24 00:00:00+00:00,129.0,131.92,127.9,130.86,1035528
2024-07-25 00:00:00+00:00,130.46,131.1,129.28,129.56,450039
2024-07-26 00:00:00+00:00,129.5,131.58,124.76,126.46,1425101
2024-07-29 00:00:00+00:00,126.08,127.98,124.5,125.2,724650
2024-07-30 00:00:00+00:00,125.26,128.0,124.0,127.92,886640
2024-07-31 00:00:00+00:00,128.18,130.72,127.0,130.16,610657
2024-08-01 00:00:00+00:00,130.22,130.56,128.12,128.64,366132
2024-08-02 00:00:00+00:00,128.6,128.86,127.28,128.0,347545
2024-08-05 00:00:00+00:00,126.0,126.62,122.92,123.92,1035617
2024-08-06 00:00:00+00:00,124.22,125.78,124.22,124.88,458603
2024-08-07 00:00:00+00:00,125.28,125.88,122.4,124.6,1041356
2024-08-08 00:00:00+00:00,124.9,125.52,122.64,122.88,587470
2024-08-09 00:00:00+00:00,122.88,124.44,122.5,123.46,348514
2024-08-12 00:00:00+00:00,123.0,126.08,122.62,125.7,621306
2024-08-13 00:00:00+00:00,125.3,129.54,125.1,127.82,1120434
2024-08-14 00:00:00+00:00,127.84,128.42,125.38,125.76,754030
2024-08-15 00:00:00+00:00,125.72,126.2,124.66,125.0,306209
2024-08-16 00:00:00+00:00,125.02,127.8,124.22,125.88,513859
2024-08-19 00:00:00+00:00,126.0,127.32,124.0,126.0,843777
2024-08-20 00:00:00+00:00,125.96,126.2,124.02,124.18,561701
2024-08-21 00:00:00+00:00,124.0,124.9,120.56,121.44,1378099
2024-08-22 00:00:00+00:00,121.38,122.28,117.0,118.9,1253622
2024-08-23 00:00:00+00:00,118.74,119.06,109.7,113.04,3247681
2024-08-26 00:00:00+00:00,114.26,118.48,114.24,118.44,1388871
2024-08-27 00:00:00+00:00,118.44,118.44,111.56,112.9,2018070
2024-08-28 00:00:00+00:00,112.82,113.34,110.04,112.1,1637561
2024-08-29 00:00:00+00:00,112.1,113.2,108.7,111.34,1450039
2024-08-30 00:00:00+00:00,112.04,112.06,104.62,108.58,2268491
2024-09-02 00:00:00+00:00,108.0,109.86,102.12,103.12,1818215
2024-09-03 00:00:00+00:00,103.18,107.5,102.24,104.02,1848727
2024-09-04 00:00:00+00:00,104.5,107.0,103.1,106.72,1367777
2024-09-05 00:00:00+00:00,107.24,107.28,104.06,104.88,1216503
2024-09-06 00:00:00+00:00,104.86,107.16,104.5,107.04,766341
2024-09-09 00:00:00+00:00,107.28,108.9,105.86,108.1,1345315
2024-09-10 00:00:00+00:00,108.5,108.88,104.9,105.96,889502
2024-09-11 00:00:00+00:00,105.96,106.38,103.06,103.6,1149862
2024-09-12 00:00:00+00:00,103.8,104.18,100.26,101.5,1389615
2024-09-13 00:00:00+00:00,101.28,102.88,99.0,102.62,2004943
2024-09-16 00:00:00+00:00,102.82,106.46,102.76,106.44,1168217
2024-09-17 00:00:00+00:00,106.58,107.0,104.78,106.82,934838
2024-09-18 00:00:00+00:00,106.76,107.96,106.1,106.22,1364252
2024-09-19 00:00:00+00:00,106.32,111.42,105.72,111.2,2603802
2024-09-20 00:00:00+00:00,111.22,112.94,109.06,109.42,2176393
2024-09-23 00:00:00+00:00,110.3,110.76,108.6,110.34,1533674
2024-09-24 00:00:00+00:00,111.0,116.0,110.06,115.22,3146973
2024-09-25 00:00:00+00:00,115.86,118.2,112.54,114.02,3858539
2024-09-26 00:00:00+00:00,114.0,116.82,113.34,115.48,2446659
2024-09-27 00:00:00+00:00,115.68,116.46,112.68,115.4,3461003
2024-09-30 00:00:00+00:00,115.8,117.66,113.04,113.04,1936917
2024-10-01 00:00:00+00:00,112.76,113.96,109.92,110.6,3070560
2024-10-02 00:00:00+00:00,110.64,111.5,107.62,107.84,2364656
2024-10-03 00:00:00+00:00,107.84,107.98,105.0,106.46,3018331
2024-10-04 00:00:00+00:00,106.8,108.0,106.5,106.96,1158313
2024-10-07 00:00:00+00:00,107.0,107.38,104.62,106.22,1962798
2024-10-08 00:00:00+00:00,105.88,107.0,104.9,106.4,1044569
2024-10-09 00:00:00+00:00,106.36,106.82,103.36,103.82,1938768
2024-10-10 00:00:00+00:00,103.84,104.46,103.16,103.48,1476443
2024-10-11 00:00:00+00:00,103.5,103.86,101.5,101.56,1618545
2024-10-14 00:00:00+00:00,101.56,105.74,100.3,105.5,3408182
2024-10-15 00:00:00+00:00,105.5,108.78,104.5,108.5,3349933
2024-10-16 00:00:00+00:00,108.44,109.98,105.82,106.82,4073189
2024-10-17 00:00:00+00:00,106.7,107.24,103.54,104.2,2657939
2024-10-18 00:00:00+00:00,104.1,105.8,102.74,104.26,2998009
2024-10-21 00:00:00+00:00,104.4,107.58,104.1,106.14,2216134
2024-10-22 00:00:00+00:00,106.4,107.9,105.52,105.82,2532021
2024-10-23 00:00:00+00:00,105.5,107.44,103.68,104.16,2279973
2024-10-24 00:00:00+00:00,104.08,105.7,103.26,105.12,1636091
2024-10-25 00:00:00+00:00,105.2,106.28,100.5,101.34,2888568
2024-10-28 00:00:00+00:00,100.5,101.6,94.22,96.1,4607307
2024-10-29 00:00:00+00:00,96.1,100.7,95.08,99.74,2883108
2024-10-30 00:00:00+00:00,100.0,100.42,97.04,97.54,1960321
2024-10-31 00:00:00+00:00,97.06,99.46,96.76,99.0,2063920
2024-11-01 00:00:00+00:00,99.4,100.0,97.22,99.16,1871147
2024-11-02 00:00:00+00:00,99.0,100.88,98.32,100.8,706147
2024-11-05 00:00:00+00:00,100.8,105.0,100.28,104.2,2112894
2024-11-06 00:00:00+00:00,105.5,108.48,105.1,105.9,3658176
2024-11-07 00:00:00+00:00,105.78,110.48,104.66,109.42,3856778
2024-11-08 00:00:00+00:00,109.02,112.4,108.08,111.58,4160570
2024-11-11 00:00:00+00:00,112.38,113.26,110.64,112.64,2860231
2024-11-12 00:00:00+00:00,112.38,114.84,111.12,113.5,2730006
2024-11-13 00:00:00+00:00,113.22,115.8,112.7,112.98,3860969
2024-11-14 00:00:00+00:00,112.98,114.6,110.56,111.68,2258413
2024-11-15 00:00:00+00:00,111.52,115.5,111.28,115.16,1990694
2024-11-18 00:00:00+00:00,112.2,115.8,111.7,114.46,3502661
2024-11-19 00:00:00+00:00,114.64,116.1,109.52,111.0,3999459
2024-11-20 00:00:00+00:00,111.2,112.0,106.0,108.28,2917141
2024-11-21 00:00:00+00:00,108.3,109.78,106.6,109.32,2996442
2024-11-22 00:00:00+00:00,109.48,109.96,106.76,108.52,2462848
2024-11-25 00:00:00+00:00,108.5,108.8,103.1,103.94,2236082
2024-11-26 00:00:00+00:00,103.6,106.5,101.86,104.08,2689591
2024-11-27 00:00:00+00:00,104.4,111.4,102.74,110.96,4581767
2024-11-28 00:00:00+00:00,111.42,112.24,108.08,110.08,3323324
2024-11-29 00:00:00+00:00,110.62,114.0,109.68,112.96,2318657
2024-12-02 00:00:00+00:00,113.16,114.9,112.72,114.1,1718723
2024-12-03 00:00:00+00:00,113.96,114.34,109.3,110.4,2292107
2024-12-04 00:00:00+00:00,110.88,110.88,104.1,104.2,3070562
2024-12-05 00:00:00+00:00,104.6,108.7,102.8,108.16,3351142
2024-12-06 00:00:00+00:00,108.16,109.84,106.72,107.8,2448942
2024-12-09 00:00:00+00:00,108.5,109.0,106.38,106.86,2116063
2024-12-10 00:00:00+00:00,106.9,106.9,103.5,103.6,2347600
2024-12-11 00:00:00+00:00,103.6,104.84,101.5,104.1,2360416
2024-12-12 00:00:00+00:00,104.36,104.54,100.1,100.3,2381514
2024-12-13 00:00:00+00:00,100.28,102.2,99.68,99.9,2006373
2024-12-16 00:00:00+00:00,98.2,99.1,95.3,95.9,3209363
2024-12-17 00:00:00+00:00,96.04,96.7,94.8,94.98,2275856
2024-12-18 00:00:00+00:00,95.38,95.86,93.04,95.66,2583953
2024-12-19 00:00:00+00:00,95.9,99.16,95.0,95.7,4555270
2024-12-20 00:00:00+00:00,95.7,105.96,95.7,105.08,5327467
2024-12-23 00:00:00+00:00,107.0,108.4,104.0,105.0,5304787
2024-12-24 00:00:00+00:00,105.0,106.9,103.78,104.96,3728533
2024-12-25 00:00:00+00:00,104.7,108.72,103.54,108.0,4266554
2024-12-26 00:00:00+00:00,108.48,111.1,106.54,109.66,4821072
2024-12-27 00:00:00+00:00,109.92,111.66,109.26,111.04,2121026
2024-12-28 00:00:00+00:00,111.48,114.4,111.1,113.8,2451123
2024-12-30 00:00:00+00:00,114.54,115.8,114.36,115.5,1645059
2025-01-03 00:00:00+00:00,115.7,115.8,111.82,112.68,1030674
2025-01-06 00:00:00+00:00,112.38,113.82,110.66,113.42,957791
2025-01-08 00:00:00+00:00,113.6,114.34,112.82,114.0,682761
2025-01-09 00:00:00+00:00,114.0,114.82,111.02,111.8,1870019
2025-01-10 00:00:00+00:00,111.92,116.5,111.02,116.26,3001980
2025-01-13 00:00:00+00:00,116.9,120.22,116.8,118.38,3908414
2025-01-14 00:00:00+00:00,118.42,120.82,117.44,119.98,2464889
2025-01-15 00:00:00+00:00,119.98,121.22,117.16,119.46,2628927
2025-01-16 00:00:00+00:00,119.8,120.76,118.4,119.12,2047700
2025-01-17 00:00:00+00:00,119.4,125.0,118.7,124.88,3613715
2025-01-20 00:00:00+00:00,126.4,128.86,123.2,123.4,4031285
2025-01-21 00:00:00+00:00,124.4,124.66,121.34,124.56,2009413
2025-01-22 00:00:00+00:00,125.0,127.28,121.94,123.74,2458433
2025-01-23 00:00:00+00:00,123.68,125.0,121.58,124.96,1482832
2025-01-24 00:00:00+00:00,125.2,127.98,123.0,124.14,2974503
2025-01-27 00:00:00+00:00,124.7,124.98,118.74,119.46,2333445
2025-01-28 00:00:00+00:00,119.3,121.94,117.12,121.2,3017691
2025-01-29 00:00:00+00:00,121.22,123.0,120.84,121.78,1489322
2025-01-30 00:00:00+00:00,121.78,123.24,121.6,122.76,1335119
2025-01-31 00:00:00+00:00,122.7,124.6,119.54,121.18,2464712
2025-02-03 00:00:00+00:00,121.0,121.0,117.02,118.3,2478396
2025-02-04 00:00:00+00:00,118.3,120.0,116.5,117.16,1771302
2025-02-05 00:00:00+00:00,117.12,121.0,116.02,120.4,2375085
2025-02-06 00:00:00+00:00,120.8,123.0,120.08,121.5,2158197
2025-02-07 00:00:00+00:00,121.86,123.62,120.48,122.28,2174237
2025-02-10 00:00:00+00:00,122.3,127.0,119.0,120.82,9995384
2025-02-11 00:00:00+00:00,120.6,122.1,119.62,121.12,3630837
2025-02-12 00:00:00+00:00,121.2,128.0,119.24,127.26,6139722
2025-02-13 00:00:00+00:00,127.34,129.94,123.5,128.1,4913351
2025-02-14 00:00:00+00:00,129.0,133.98,125.0,131.5,7127792
2025-02-17 00:00:00+00:00,134.0,139.0,132.64,138.2,5721778
2025-02-18 00:00:00+00:00,138.6,138.8,133.2,134.6,3644690
2025-02-19 00:00:00+00:00,134.8,139.0,132.68,138.52,2870007
2025-02-20 00:00:00+00:00,139.06,139.68,136.0,137.74,2564264
2025-02-21 00:00:00+00:00,138.0,140.3,135.14,137.18,2790616
2025-02-24 00:00:00+00:00,137.58,147.26,135.72,146.94,5667980
2025-02-25 00:00:00+00:00,147.2,150.14,141.3,143.04,11129852
2025-02-26 00:00:00+00:00,145.02,145.14,136.54,138.02,4320015
2025-02-27 00:00:00+00:00,138.34,139.26,134.2,134.34,3850238
2025-02-28 00:00:00+00:00,134.36,141.0,133.52,140.32,4718268
2025-03-01 00:00:00+00:00,140.5,140.76,139.58,139.92,52833
2025-03-02 00:00:00+00:00,140.06,140.32,138.5,139.04,111133
2025-03-03 00:00:00+00:00,139.04,139.42,133.04,135.92,4574904
2025-03-04 00:00:00+00:00,136.08,142.26,136.08,140.92,4778388
2025-03-05 00:00:00+00:00,141.16,142.0,136.62,136.98,3453259
2025-03-06 00:00:00+00:00,137.0,138.64,134.14,136.46,2200512
2025-03-07 00:00:00+00:00,136.46,139.2,133.02,135.7,2791839
2025-03-10 00:00:00+00:00,136.4,137.5,134.42,137.14,2717526
2025-03-11 00:00:00+00:00,137.38,138.88,135.06,135.72,2423432
2025-03-12 00:00:00+00:00,135.82,136.42,133.8,134.0,1499301
2025-03-13 00:00:00+00:00,133.8,135.5,128.16,131.9,5165303
2025-03-14 00:00:00+00:00,132.0,132.46,129.0,130.54,2817546
2025-03-15 00:00:00+00:00,130.92,131.8,130.86,131.2,69076
2025-03-16 00:00:00+00:00,131.2,132.28,130.68,131.96,217511
2025-03-17 00:00:00+00:00,132.0,134.68,131.58,134.06,2941616
2025-03-18 00:00:00+00:00,134.46,136.4,131.5,132.08,4225639
2025-03-19 00:00:00+00:00,132.1,133.16,130.22,132.04,1779676
2025-03-20 00:00:00+00:00,132.04,133.04,129.46,131.16,2412016
2025-03-21 00:00:00+00:00,131.0,132.34,128.58,129.8,1891675
2025-03-24 00:00:00+00:00,129.78,129.78,125.32,125.88,1971016
2025-03-25 00:00:00+00:00,126.0,130.0,123.22,129.58,2899174
2025-03-26 00:00:00+00:00,129.7,130.52,124.5,125.8,2215551
2025-03-27 00:00:00+00:00,126.0,126.3,122.5,122.98,2394246
2025-03-28 00:00:00+00:00,123.0,124.1,120.5,121.56,2784545
2025-03-29 00:00:00+00:00,120.7,121.28,119.42,119.42,310497
2025-03-30 00:00:00+00:00,119.42,119.98,119.42,119.42,117764
2025-03-31 00:00:00+00:00,119.0,124.5,118.42,123.3,2323908
2025-04-01 00:00:00+00:00,123.3,125.3,120.12,120.8,2663831
2025-04-02 00:00:00+00:00,120.54,121.98,117.52,120.1,3193713
2025-04-03 00:00:00+00:00,120.2,121.8,114.02,116.42,3470521
2025-04-04 00:00:00+00:00,118.0,118.0,110.5,110.9,4275744
2025-04-05 00:00:00+00:00,108.8,111.0,108.68,110.7,454598
2025-04-06 00:00:00+00:00,110.26,112.6,109.82,111.94,513951
2025-04-07 00:00:00+00:00,109.7,113.66,102.68,111.32,6008717
2025-04-08 00:00:00+00:00,112.0,113.98,105.66,106.8,2974638
2025-04-09 00:00:00+00:00,106.6,117.3,105.52,116.08,6785958
2025-04-10 00:00:00+00:00,115.98,116.84,112.0,114.04,3987162
2025-04-11 00:00:00+00:00,114.14,117.5,113.98,117.1,2256859
2025-04-12 00:00:00+00:00,117.22,118.98,117.22,118.38,261814
2025-04-13 00:00:00+00:00,118.38,118.96,118.06,118.56,171203
2025-04-14 00:00:00+00:00,118.7,118.7,113.18,114.5,1825238
2025-04-15 00:00:00+00:00,114.6,115.7,111.48,112.2,2056013
2025-04-16 00:00:00+00:00,112.0,114.58,110.2,113.04,2494919
2025-04-17 00:00:00+00:00,113.5,116.02,112.3,115.56,2186232
2025-04-18 00:00:00+00:00,113.3,114.44,110.8,111.62,2803738
2025-04-21 00:00:00+00:00,112.9,114.96,112.24,113.92,1509559
2025-04-22 00:00:00+00:00,114.5,118.3,112.64,116.7,2950131
2025-04-23 00:00:00+00:00,117.36,117.48,112.66,114.44,2385167
2025-04-24 00:00:00+00:00,114.2,116.28,113.16,113.84,1530895
2025-04-25 00:00:00+00:00,114.18,117.76,114.06,117.7,2021034
2025-04-26 00:00:00+00:00,118.0,120.36,117.84,118.42,571399
2025-04-27 00:00:00+00:00,118.78,119.5,118.7,119.48,115479
2025-04-28 00:00:00+00:00,119.48,120.0,116.5,117.3,2019623
2025-04-29 00:00:00+00:00,117.5,117.54,112.7,113.62,1526377
2025-04-30 00:00:00+00:00,113.04,115.2,111.34,114.38,2585650
2025-05-02 00:00:00+00:00,114.0,114.1,108.56,109.0,1457065
2025-05-03 00:00:00+00:00,109.0,109.76,108.36,109.26,139148
2025-05-04 00:00:00+00:00,109.26,110.04,109.0,109.4,117542
2025-05-05 00:00:00+00:00,109.24,109.82,106.5,107.26,1629522
2025-05-06 00:00:00+00:00,107.76,109.58,106.56,107.7,1338703
2025-05-07 00:00:00+00:00,107.9,109.8,107.26,108.86,1212481
2025-05-08 00:00:00+00:00,108.98,111.88,108.86,111.6,1103705
2025-05-10 00:00:00+00:00,111.94,112.16,111.2,111.8,165250
2025-05-11 00:00:00+00:00,113.0,114.5,112.5,112.88,328800
2025-05-12 00:00:00+00:00,113.2,114.64,112.74,114.48,1348910
2025-05-13 00:00:00+00:00,114.56,114.98,112.72,112.98,1323014
2025-05-14 00:00:00+00:00,112.82,114.72,110.58,110.6,1363655
2025-05-15 00:00:00+00:00,111.12,111.8,108.98,110.52,1347802
2025-05-16 00:00:00+00:00,110.52,111.08,110.2,110.46,111091
